0x0B6D369,101015
0x2150C95,07E1
0x2157031,0C
0x215706F,07
0x21570F1,07
0x215A031,0C
0x215A06F,07
0x215A151,07
0x2163031,0C
0x216306F,07
0x2163151,07
0x2168031,0C
0x216806F,07
0x2168191,07
0x216E031,0C
0x216E06F,07
0x216E0F1,07
0x2171031,0C
0x217106F,07
0x2171121,07
0x2178031,0C
0x217806F,07
0x2178141,07
0x217C031,0C
0x217C06F,07
0x217C131,07
0x217F031,0C
0x217F06F,07
0x217F161,07
0x2182031,0C
0x218206F,07
0x21820F1,07
0x21A0739,08
0x21A075F,68
0x2946031,06
0x29460A9,1901D5
0x29460AE,0320
0x29460B2,40
0x333D12D,7F
0x333D1AD,7F
